Valor de Entrada, Tempo de Relógio, Tempo de Usuario, Tempo de Sistema
1000,4,3,0
2000,7,6,0
3000,7,7,0
4000,11,10,0
5000,11,11,0
6000,12,12,0
7000,17,17,0
8000,15,15,0
9000,21,21,0
10000,19,18,0
11000,20,20,0
12000,22,22,0
13000,31,30,0
14000,27,27,0
15000,28,28,0
16000,29,29,0
17000,32,31,0
18000,33,32,0
19000,36,36,0
20000,37,36,0
21000,40,39,0
22000,37,36,0
23000,42,41,0
24000,41,40,0
25000,43,43,0
26000,48,47,0
27000,50,50,0
28000,52,51,0
29000,50,50,0
30000,50,51,0
31000,53,53,0
32000,56,0,56
33000,58,58,0
34000,62,61,0
35000,64,63,0
36000,66,65,0
37000,67,66,0
38000,66,65,0
39000,71,70,0
40000,74,73,0
41000,70,69,0
42000,76,75,0
43000,72,72,0
44000,79,79,0
45000,83,82,0
46000,82,81,0
47000,83,81,0
48000,91,90,0
49000,86,86,0
50000,89,89,0
