Valor de Entrada, Tempo de Relógio, Tempo de Usuario, Tempo de Sistema
1,1,1,0
2,1,1,0
3,1,0,0
4,2,1,0
5,1,1,0
6,1,1,0
7,1,1,0
8,1,1,0
9,2,1,0
10,2,2,0
11,2,2,0
12,2,2,0
13,3,2,0
14,4,3,0
15,5,5,0
16,8,8,0
17,12,12,0
18,19,18,0
19,30,29,0
20,47,46,0
21,89,88,0
22,120,119,0
23,193,192,0
24,335,335,0
25,503,503,0
26,814,813,0
27,1265,1265,0
28,2012,2013,0
29,3150,0,3149
30,5249,5250,0
31,8533,8534,0
32,14328,14328,0
33,22027,22030,0
34,37485,37486,0
35,63430,63432,0
36,98456,98455,0
37,150776,150777,0
38,251672,251674,0
39,430494,430486,0
40,676368,676307,0
41,1089433,1089406,0
42,1807097,1797535,9546
43,3025110,3015413,9685
44,4730536,4730394,0
45,7667300,7667275,0
46,12251699,12251552,0
47,19858234,19858176,0
48,31600542,31599085,0
49,51329313,51329217,0
50,84120030,84108500,10001
