Valor de Entrada, Tempo de Relógio, Tempo de Usuario, Tempo de Sistema
1000,912,911,0
2000,1531,1532,0
3000,965,965,0
4000,938,937,0
5000,914,914,0
6000,955,954,0
7000,1357,0,1359
8000,1392,1394,0
9000,1120,1119,0
10000,1069,1069,0
11000,1115,1113,0
12000,1111,1112,0
13000,1241,1241,0
14000,1408,1410,0
15000,1095,1095,0
16000,1070,1070,0
17000,1130,1130,0
18000,1381,1384,0
19000,1236,1236,0
20000,1068,1068,0
21000,1155,1154,0
22000,1264,1265,0
23000,1463,1465,0
24000,1336,1335,0
25000,1261,1261,0
26000,1333,1333,0
27000,1579,1580,0
28000,1395,0,1394
29000,1149,1148,0
30000,1251,1251,0
31000,1351,1350,0
32000,1346,1348,0
33000,1365,1364,0
34000,1398,1385,0
35000,1234,1234,0
36000,1305,1305,0
37000,1562,0,1563
38000,1382,1382,0
39000,1484,1485,0
40000,1351,1351,0
41000,1378,1379,0
42000,1449,0,1448
43000,1349,1349,0
44000,1521,1522,0
45000,1511,1511,0
46000,1472,1472,0
47000,1493,1493,0
48000,1490,1489,0
49000,1623,0,1625
50000,1540,1540,0
